rank_code	ncbi_id	name	mean_percent
			1.4633944808423
NA	NA	NA	0.970873786407767
U	0	unclassified	0.00019461053329576
R	1	root	0.000113568534265563
R1	131567	cellular	0.000113559870345453
D	2	Bacteria	0.000113440931926513
D1	1783272	Terrabacteria	9.57837114306482e-05
P	1239	Firmicutes	8.21378045169389e-05
C	186801	Clostridia	7.28395706147886e-05
O	186802	Clostridiales	7.28087527080324e-05
F	186803	Lachnospiraceae	3.57737625114136e-05
F	541000	Ruminococcaceae	2.59680867254945e-05
F1	186928	unclassified	2.56019339457788e-05
G	216851	Faecalibacterium	2.52951209126513e-05
S	853	Faecalibacterium	2.52951209126513e-05
S	39491	[Eubacterium]	2.33366112669871e-05
S1	515619	[Eubacterium]	2.33366112669871e-05
20455			2.15725347292926e-05
D1	1783270	FCB	1.50336796005308e-05
D2	68336	Bacteroidetes/Chlorobi	1.50315117484585e-05
P	976	Bacteroidetes	1.50293463924459e-05
C	200643	Bacteroidia	1.48930726451071e-05
O	171549	Bacteroidales	1.48930726451071e-05
P	201174	Actinobacteria	1.33220774157187e-05
F	815	Bacteroidaceae	1.26905212286227e-05
G	816	Bacteroides	1.26905212286227e-05
C	1760	Actinobacteria	7.85885577382259e-06
F	31953	Bifidobacteriaceae	7.65396469477167e-06
G	1678	Bifidobacterium	7.65396469477167e-06
O	85004	Bifidobacteriales	7.65396469477167e-06
C	84998	Coriobacteriia	5.46322164189614e-06
S	357276	Bacteroides	5.24316307034135e-06
S1	997877	Bacteroides	5.24316307034135e-06
C	526524	Erysipelotrichia	5.20173747046096e-06
F	128827	Erysipelotrichaceae	5.20173747046096e-06
O	526525	Erysipelotrichales	5.20173747046096e-06
G	841	Roseburia	5.17842596150462e-06
S	301301	Roseburia	5.17842596150462e-06
S1	585394	Roseburia	5.17842596150462e-06
S	1680	Bifidobacterium	4.68298299080499e-06
O	84999	Coriobacteriales	4.64367479811007e-06
F	84107	Coriobacteriaceae	4.55771964193915e-06
G	102106	Collinsella	4.53123494326789e-06
S	74426	Collinsella	4.53123494326789e-06
F1	433334	unclassified	4.48160090454656e-06
F2	544447	unclassified	4.48160090454656e-06
S	2109692	Erysipelotrichaceae	4.48160090454656e-06
F	31979	Clostridiaceae	2.59439388369976e-06
F	186806	Eubacteriaceae	2.55377161591926e-06
G	1730	Eubacterium	2.55377161591926e-06
C	91061	Bacilli	2.36376455239895e-06
O	186826	Lactobacillales	2.20317645452081e-06
G	207244	Anaerostipes	2.17148908734836e-06
S	649756	Anaerostipes	2.17148908734836e-06
P	1224	Proteobacteria	1.99086825332966e-06
S	39488	[Eubacterium]	1.98171895802905e-06
G	1485	Clostridium	1.9592415736322e-06
S	216816	Bifidobacterium	1.79846236916516e-06
F	1300	Streptococcaceae	1.72960061507308e-06
S	1509	Clostridium	1.69271218500936e-06
S	28116	Bacteroides	1.58289247655424e-06
G	1301	Streptococcus	1.53417072228502e-06
C	1236	Gammaproteobacteria	1.51295421367774e-06
O	91347	Enterobacterales	1.35886467989708e-06
S	821	Bacteroides	1.28930698306493e-06
F	543	Enterobacteriaceae	1.28856744233439e-06
S	2109690	Lachnospiraceae	1.28399078537929e-06
S	818	Bacteroides	1.2211904608059e-06
F	186804	Peptostreptococcaceae	1.21003689648267e-06
G	1870884	Clostridioides	1.21003689648267e-06
S	1496	Clostridioides	1.21003689648267e-06
S	1308	Streptococcus	1.18483491412622e-06
G	1506553	Lachnoclostridium	1.03265133762025e-06
G	572511	Blautia	9.33364772726716e-07
S	2109691	Lachnospiraceae	8.88878173144005e-07
O1	186813	unclassified	8.57169239972867e-07
F	1643826	Eggerthellaceae	8.17381487773464e-07
O	1643822	Eggerthellales	8.17381487773464e-07
F	171550	Rikenellaceae	7.88731433089596e-07
G	239759	Alistipes	7.88731433089596e-07
O2	39779	unclassified	7.09578270289682e-07
S	2109688	Clostridiales	7.09578270289682e-07
G	1981033	Mordavella	6.35152310067554e-07
S	2086584	Mordavella	6.35152310067554e-07
G	447020	Adlercreutzia	5.97320436336008e-07
S	446660	Adlercreutzia	5.97320436336008e-07
S1	1384484	Adlercreutzia	5.97320436336008e-07
G	1573534	Faecalitalea	5.96864938889872e-07
S	39483	Faecalitalea	5.96864938889872e-07
S1	717960	Faecalitalea	5.96864938889872e-07
F	216572	Oscillospiraceae	5.91077876378552e-07
G	459786	Oscillibacter	5.91077876378552e-07
S	2109687	Oscillibacter	5.62427821694685e-07
F	2005525	Tannerellaceae	5.56860220966746e-07
S1	435590	Bacteroides	5.45268623526498e-07
S	817	Bacteroides	5.44407549827392e-07
S	1796613	Bacteroides	5.34741179155914e-07
G	375288	Parabacteroides	5.30375522295485e-07
S	246787	Bacteroides	5.13092611149167e-07
S	1322	Blautia	5.02404520422217e-07
S1	537007	Blautia	5.02404520422217e-07
G	561	Escherichia	4.9137216492897e-07
S	39485	[Eubacterium]	4.77428589489887e-07
S1	515620	[Eubacterium]	4.77428589489887e-07
S	562	Escherichia	4.63222536765087e-07
G	946234	Flavonifractor	4.43755391133681e-07
S	292800	Flavonifractor	4.43755391133681e-07
S	47678	Bacteroides	4.21770945077848e-07
S	328814	Alistipes	4.21094388326906e-07
S1	717959	Alistipes	4.21094388326906e-07
S1	367928	Bifidobacterium	3.9727048006892e-07
S	208479	[Clostridium]	3.74150585218117e-07
S1	226186	Bacteroides	3.17872894889042e-07
S	214856	Alistipes	3.06003727310083e-07
S1	679935	Alistipes	3.06003727310083e-07
S	28026	Bifidobacterium	3.01663031046238e-07
S1	547043	Bifidobacterium	3.01663031046238e-07
F	81852	Enterococcaceae	2.77849107026885e-07
G	1350	Enterococcus	2.77849107026885e-07
S	1871021	Lachnoclostridium	2.35708985807052e-07
S	1912897	Blautia	2.28722475487881e-07
G	1357	Lactococcus	1.93262040715797e-07
S	1352	Enterococcus	1.91893950855965e-07
S	1686	Bifidobacterium	1.897260987837e-07
